# Logfile created on 2025-09-09 15:29:36 +0200 by logger.rb/v1.5.3
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal2_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal2_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : baspoly_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : baspoly_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : psd_drw has 37228 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : nldb_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : digibnd_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : via1_drw has 66018 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_mask has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_filler has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_nofill has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_slit has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_noqrc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_res has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backmetal1_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : backpassiv_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : res_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : sram_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : trans_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : ind_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : ind_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : ind_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : salblock_drw has 14 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : via2_drw has 177369 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_drw has 1556 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_pin has 304 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_mask has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_filler has 24190 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_nofill has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_slit has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_text has 308 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_noqrc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465696K) : metal3_res has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : metal3_iprobe has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : metal3_diffprb has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : nwell_drw has 18838 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : nwell_pin has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : nbulay_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : nbulay_pin has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : nbulay_block has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : emwind_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : emwind_opc has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : deepco_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : deepco_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : mim_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : edgeseal_drw has 24 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : edgeseal_bound has 1 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : substrate_drw has 502 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465696K) : substrate_text has 0 polygons
