# Logfile created on 2025-09-09 15:29:41 +0200 by logger.rb/v1.5.3
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_pin has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_filler has 22161 polygons
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_nofill has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_opc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_iopc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (455256K) : gatpoly_noqrc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : cont_drw has 2875711 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : cont_opc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : nsd_drw has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : nsd_block has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_drw has 60576 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_pin has 37170 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_mask has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_filler has 30278 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_nofill has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465496K) : metal1_slit has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_text has 37170 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_opc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_noqrc has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_res has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_iprobe has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : metal1_diffprb has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : passiv_drw has 40 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : passiv_pin has 0 polygons
2025-09-09 15:29:42 +0200: Memory Usage (465752K) : passiv_sbump has 0 polygons
