# Logfile created on 2025-09-09 15:29:36 +0200 by logger.rb/v1.5.3
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : metal3_res has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : metal3_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : metal3_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : nwell_drw has 18838 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : nwell_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : nbulay_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : nbulay_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : nbulay_block has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : emwind_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : emwind_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : deepco_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : deepco_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : mim_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : edgeseal_drw has 24 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : edgeseal_bound has 1 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : substrate_drw has 502 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : substrate_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : dfpad_drw has 28 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : dfpad_pillar has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : dfpad_sbump has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : thickgateox_drw has 66 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : pldb_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : pwell_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (463900K) : pwell_pin has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (463900K) : pwell_block has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (463900K) : ic_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464412K) : via3_drw has 163762 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464412K) : metal4_drw has 1201 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464412K) : metal4_pin has 280 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464412K) : metal4_mask has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_filler has 23729 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_nofill has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_slit has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_text has 280 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_opc has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_noqrc has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_res has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_iprobe has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : metal4_diffprb has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : heattrans_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : heatres_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : pempoly_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : fbe_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (464668K) : empoly_drw has 0 polygons
