# Logfile created on 2025-09-09 15:29:36 +0200 by logger.rb/v1.5.3
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : cont_opc has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : nsd_drw has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : nsd_block has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_drw has 60576 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_pin has 37170 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_mask has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_filler has 30278 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_nofill has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (463924K) : metal1_slit has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_text has 37170 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_opc has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_noqrc has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_res has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_iprobe has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal1_diffprb has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : passiv_drw has 40 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : passiv_pin has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : passiv_sbump has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : passiv_pillar has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : passiv_pdl has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_drw has 2674 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_pin has 474 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_mask has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_filler has 49310 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_nofill has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_slit has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_text has 470 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_opc has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_noqrc has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_res has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_iprobe has 0 polygons
2025-09-09 15:29:36 +0200: Memory Usage (464180K) : metal2_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : baspoly_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : baspoly_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : psd_drw has 37228 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : nldb_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : digibnd_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : via1_drw has 66018 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_mask has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_filler has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_nofill has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_slit has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_noqrc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_res has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backmetal1_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : backpassiv_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : res_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : sram_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : trans_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : ind_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : ind_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464180K) : ind_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (464692K) : salblock_drw has 14 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : via2_drw has 177369 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_drw has 1556 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_pin has 304 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_mask has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_filler has 24190 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_nofill has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465204K) : metal3_slit has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_text has 308 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_noqrc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_res has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal3_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nwell_drw has 18838 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nwell_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nbulay_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nbulay_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nbulay_block has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : emwind_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : emwind_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : deepco_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : deepco_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : mim_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : edgeseal_drw has 24 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : edgeseal_bound has 1 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : substrate_drw has 502 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : substrate_text has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : dfpad_drw has 28 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : dfpad_pillar has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : dfpad_sbump has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : thickgateox_drw has 66 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pldb_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pwell_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pwell_pin has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pwell_block has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : ic_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : via3_drw has 163762 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_drw has 1201 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_pin has 280 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_mask has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_filler has 23729 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_nofill has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_slit has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_text has 280 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_opc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_noqrc has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_res has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_iprobe has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal4_diffprb has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : heattrans_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : heatres_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pempoly_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : fbe_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : empoly_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : ldmos_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : pbiwind_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : digisub_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : nodrc_drw has 0 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : text_drw has 428 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : via4_drw has 168380 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal5_drw has 1200 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal5_pin has 280 polygons
2025-09-09 15:29:37 +0200: Memory Usage (465460K) : metal5_mask has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_filler has 23640 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_nofill has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_slit has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_text has 280 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_opc has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_noqrc has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_res has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_iprobe has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : metal5_diffprb has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : radhard_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : memcap_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : varicap_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : flash_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : intbondvia_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : intbondmet_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : devbondvia_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : devbondmet_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : devtrench_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : redist_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : graphbot_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : graphtop_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : antvia1_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : antmetal2_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : graphcont_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : siwg_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : siwg_filler has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : siwg_nofill has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : sigrating_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : singrating_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : graphpas_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : emwind3_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : emwihv3_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : redbulay_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : smos_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : graphpad_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : polimide_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : polimide_pin has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : recog_drw has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : recog_pin has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465460K) : recog_esd has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_diode has 166 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_tsv has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_iprobe has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_diffprb has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_pillar has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_sbump has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_otp has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_pdiode has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_mom has 0 polygons
2025-09-09 15:29:38 +0200: Memory Usage (465716K) : recog_pcm has 0 polygons
