# Logfile created on 2025-09-09 17:34:39 +0200 by logger.rb/v1.6.0
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : cont_opc has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : nsd_drw has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : nsd_block has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_drw has 43281 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_pin has 26156 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_mask has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_filler has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_nofill has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_slit has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_text has 26156 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_opc has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_noqrc has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_res has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_iprobe has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal1_diffprb has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : passiv_drw has 24 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : passiv_pin has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : passiv_sbump has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : passiv_pillar has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : passiv_pdl has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_drw has 2130 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_pin has 404 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_mask has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_filler has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_nofill has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_slit has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_text has 404 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_opc has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_noqrc has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_res has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_iprobe has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : metal2_diffprb has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : baspoly_drw has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : baspoly_pin has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : psd_drw has 26186 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : nldb_drw has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : digibnd_drw has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : via1_drw has 56568 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_drw has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_pin has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_mask has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_filler has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_nofill has 0 polygons
2025-09-09 17:34:39 +0200: Memory Usage (457436K) : backmetal1_slit has 0 polygons
